student,currProb,course,session,priorTutorAction,reward,cumul_symbolicRepresentationCount,SeenWEinLevel,probIndexPSinLevel,hintCount,cumul_SystemInfoHintCount,ruleScoreCOM,NewLevel,PreviousStepClickCountWE
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,2,0,1,0
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,1,1,1,0,2,0,0,0
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,1,1,1,0,2,0,0,0
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.07894737,1,0,1,0,2,0,0,0
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,1,0
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,2,1,1,0,0,0,0,0
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.8100398,3,0,1,0,0,0,0,0
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,0,0,0,1,0
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,2,1,0,0,0,0,0,0
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.26507302,3,0,0,0,0,0,0,0
0006-F14,4.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,1,0
0006-F14,4.1.2.0,226-001-BARNES-F14,1,WE,0.0,2,1,1,0,0,0,0,0
0006-F14,4.1.3.0,226-001-BARNES-F14,1,PS,-41.60887656,3,0,1,0,0,0,0,0
0006-F14,5.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,1,0
0006-F14,5.1.2.0,226-001-BARNES-F14,1,WE,0.0,2,1,1,0,0,0,0,0
0006-F14,5.1.3.0,226-001-BARNES-F14,1,PS,11.68831169,3,0,1,0,0,0,0,0
0006-F14,6.1.1.0,226-001-BARNES-F14,1,PS,0.0,1,0,0,0,0,0,1,0
0006-F14,6.1.2.0,226-001-BARNES-F14,1,WE,0.0,2,1,1,0,0,0,0,0
0006-F14,6.1.3.0,226-001-BARNES-F14,1,PS,-22.76975361,3,0,1,0,0,0,0,0
0008-F14,1.0.1.0,226-001-BARNES-F14,1,WE,0.0,1,1,0,0,0,0,1,0
